restaurantName	address	city	postalCode	country	region	priceRange	cuisineType	description	facilitiesServices	creditCards	phoneNumber	website
Gainn	via dei Mille 18	Rome	00185	ITA	Lazio	€	Korean, Asian	Since 2007, Gainn has showcased the fascinating and delicious flavours of colourful Korean cuisine, with its rice-based dishes, soups, meat, fish, plenty of vegetables and soya. The best way to ...	Air conditioning	Amex, Mastercard, Visa	+39 06 4436 0160	https://www.gainnrome.com/
Asina Luna	via della Resistenza 23	Peschiera Borromeo	20068	ITA	Lombardy	€€€	Meats and Grills, Contemporary	A restaurant with an attractive atmosphere, thanks to its profusion of wood, soft lighting and contemporary colour scheme. Meat aged for different periods takes pride of place on the menu. Sourced...	Air conditioning	Amex, Mastercard, Visa	+39 02 5530 0205	https://www.asinaluna.it
Il Tiglio	via Isola San Biagio 34	Montemonaco	63088	ITA	Marche	€€€	Cuisine from the Marches, Contemporary	Clinging to the slopes at the foot of Monte Sibilla, Il Tiglio has returned to its original home after a few years based in Porto Recanati. The new modern, designer-style restaurant includes a few...	Air conditioning, Car park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0736 856441	http://www.ristoranteiltiglio.it
Guallina	via Molino Faenza 19, località Guallina	Mortara	27036	ITA	Lombardy	€€	Country cooking, Traditional Cuisine	Situated in a small house in an outlying village in the countryside, this is a simple, inviting restaurant where you can enjoy seasonal local cuisine. Excellent wines.	Air conditioning, Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 338 726 1869	http://www.trattoriaguallina.it
Ai Campi di Marcello	via Napoli 11	Monfalcone	34074	ITA	Friuli-Venezia Giulia	€€	Seafood	Not far from the shipyards, simple but pleasant atmosphere in a family-run restaurant with good seafood options. Among the many specialties, we recommend the cold soup with raw and cooked fish. ...	Car park, Garden or park, Terrace	Amex, Mastercard, Visa	+39 0481 481937	https://ristorante.aicampi.it
La Magnolia	viale Morin 46	Forte dei Marmi	55042	ITA	Tuscany	€€€€	Modern Cuisine	Housed within the Lord Byron hotel, one of Forte del Marmi’s best hotels, this restaurant serves technically skilful and sophisticated cuisine which is striking and beautifully presented. The menu...	Air conditioning, Car park, Garden or park, Interesting wine list	Amex, Mastercard, Visa	+39 0584 787052	https://www.lamagnoliaristorante.com/it/
DaV  Mare	via Roma 2	Portofino	16034	ITA	Liguria	€€€€	Italian Contemporary, Mediterranean Cuisine	The classic, wrought-iron outdoor dining space at this restaurant overlooks one of the most romantic little squares in Italy, while the view takes in the promontory dominated by its castle – a ...	Air conditioning, Great view, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0185 267 8531	http://www.davmare.com
Osteria Billis	viale Piave 5	Tortona	15057	ITA	Piedmont	€€€	Contemporary	The former bar of the railway station (situated in the park next to the station) has been transformed into this glass-fronted restaurant with a terrace for summer dining. Exciting, personalised ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0131 171 0587	https://www.osteriabillis.it/
Duo	via Senatore Dallorso 10	Chiavari	16043	ITA	Liguria	€€	Contemporary, Italian	In this restaurant housed in a historic palazzo in the centre of Chiavari, the owners have used the structural beauty of the building to showcase the skills of local artisans, resulting in a very ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0185 475658	
Osteria Il Bagatto	via XX Settembre 16	Limone Piemonte	12015	ITA	Piedmont	€€	Modern Cuisine	In a typical mountain - style ambience, enjoy carefully prepared cuisine made by a skilful chef using the best ingredients. The menu includes a good choice of regional specialities, as well as ...	Terrace	Amex, Mastercard, Visa	+39 0171 927543	https://www.releven11.it/
Il Latini	via dei Palchetti 6 r	Florence	50123	ITA	Tuscany	€€	Tuscan, Traditional Cuisine	True to itself as always, Il Latini is a real Florentine institution, which continues to keep Tuscan traditions alive both in its small, rustic-style dining rooms and in its typical regional ...	Air conditioning	Mastercard, Visa	+39 055 210916	https://www.latinifirenze.com/
Aquadulcis	contrada Tenda	Vallo della Lucania	84078	ITA	Campania	€€	Country cooking, Contemporary	Following careful restoration, this old mill has been transformed into a gourmet restaurant with just a few tables. Here, skilful young chef Vincenzo Cucolo delights guests with his cuisine – a ...	Air conditioning	Amex, Mastercard, Visa	+39 345 297 3811	http://www.aquadulcis.it
Gasthofstube Stafler	Campo di Trens	Mules	39040	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Traditional Cuisine	This restaurant situated in the splendid Stafler hotel on the road to Austria is perfect for a romantic dinner, with a comfortable Stube-style dining room and an internal garden for fine weather. ...	Car park, Garden or park, Terrace	Mastercard, Visa	+39 0472 771136	https://www.stafler.com/it/hotel-gourmet-alto-adige/gasthofstube/filosofia-gasthofstube.html
Le Case della Saracca	via Cavour 5	Monforte d'Alba	12065	ITA	Piedmont	€€	Piedmontese, Italian	Situated in the delightful Saracca district (Monforte’s old historic centre), this restaurant occupies an old, restored house with a glass and steel decor that provides a harmonious contrast with ...	Interesting wine list	Amex, Mastercard, Visa	+39 0173 789222	https://www.saracca.com/
Hazama	via Savona 41	Milan	20144	ITA	Lombardy	€€€€	Japanese, Classic Cuisine	Japanese cuisine served in a small restaurant where both the cuisine and decor are minimalist in style. Here, young chef Satoshi Hazama creates light dishes full of Japanese flavour, all made from...	Air conditioning, Notable sake list	Amex, Mastercard, Visa	+39 02 0995 5972	https://www.ristorantehazama.com
Michelasso	via Santa Brigida 14/16	Naples	80132	ITA	Campania	€€€	Contemporary	Situated in the city centre, this refined restaurant with an elegantly classic decor is perfect for a romantic, intimate dinner. The menu features meat and fish, with traditional dishes ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 081 1865 8804	http://www.michelasso.it
20 Posti	via della Murina 4/a	Empoli	50053	ITA	Tuscany	€€€	Contemporary, Mediterranean Cuisine	A small bistro-style restaurant with an evening lounge bar, situated in a narrow alleyway in the town centre. The young team here serve imaginative Mediterranean meat and fish dishes prepared from...	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 0571 152 0082	http://ristorante20posti.it
L'Osteria H20	via Pergola 10	Moniga del Garda	25080	ITA	Lombardy	€€€	Creative	This bright, minimalist - style restaurant is situated on the road but its dining room faces the lake. It serves imaginative and personalised cuisine with both fish and meat dishes on the menu.	Air conditioning, Car park, Great view, Terrace	Amex, Mastercard, Visa	+39 0365 503225	https://www.losteriah2o.it
Ruris	Via Spiaggie Rosse, località Mazzotta	Isola di Capo Rizzuto	88841	ITA	Calabria	€€€	Seafood, Modern Cuisine	Despite its rural setting inland, this restaurant is still situated within the Capo Rizzuto e Mar Ionio protected marine reserve, which helps to explain the focus on fish and seafood dishes ...	Air conditioning, Car park	Amex, Mastercard, Visa	+39 339 737 2712	https://www.ruris.it/
Da Gerry	via Chiesa 6	Monfumo	31010	ITA	Veneto	€€	Classic Cuisine	At this centrally located, contemporary - style trattoria sample local dishes, and much more besides. It also offers excellent accommodation. The Da Gerry’s bedrooms are both comfortable and ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0423 945750	https://www.ristorantedagerry.com/
Da Nando	via Divisione Julia 14	Mortegliano	33050	ITA	Friuli-Venezia Giulia	€€	Regional Cuisine	The whole family is involved in running this typical trattoria, which has become one of the standard - bearers of the region. The decor is classic and elegant, while the menu focuses on local ...	Air conditioning, Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0432 760187	https://www.danando.it/
La Caprese	via Garibaldi 7, località Borghetto	Mozzo	24030	ITA	Lombardy	€€€	Seafood	Since 1975 one of the local points of reference for seafood enthusiasts. The name alludes to the owners’ origins in Campania, which takes shape in some recipes with markedly Mediterranean and ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 035 437 6661	http://www.ristorantelacaprese.com
Agriturismo Il Cavallino	SP 55 Saturnia-Semproniano, località Fibbianello	Semproniano	58055	ITA	Tuscany	€€	Country cooking, Italian Contemporary	Situated in a very quiet and secluded location, this restaurant is run by an enthusiastic young couple: he has inherited the family business and, having gained experience in other restaurants in ...	Air conditioning, Car park	Mastercard, Visa	+39 338 890 6873	https://www.agriturismoilcavallino.it
Hosteria Toblino	via Garda 3	Sarche di Madruzzo	38070	ITA	Trentino-South Tyrol	€€	Country cooking, Contemporary	The most welcoming section of the extensive Cantina Toblino complex is home to the large, contemporary and minimalist-style Hosteria. Here, a young chef serves simple reinterpretations of regional...	Air conditioning, Car park, Garden or park, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Mastercard, Visa	+39 0461 561113	https://www.toblino.it/hosteria/ristorante/
L'Oste della Bon'Ora	viale Vittorio Veneto 133	Grottaferrata	00046	ITA	Lazio	€€	Roman, Cuisine from Lazio	One of the best restaurants in the area, where the friendly, exuberant owner, Massimo, is a real gourmet enthusiast who enjoys helping his guests choose from the reinterpreted Lazian specialities ...	Air conditioning, Car park, Terrace	Amex, Mastercard	+39 06 941 3778	https://www.lostedellabonora.com/
El Filò	strada Dolomites 103	Pozza di Fassa	38036	ITA	Trentino-South Tyrol	€€€	Regional Cuisine, Classic Cuisine	Following recent refurbishment, El Filò is now even more comfortable than ever, boasting an Alpine-influenced decor that is striking for its contemporary style. The Dolomites and Ladin culinary ...	Car park	Mastercard, Visa	+39 0462 763210	http://www.el-filo.com
Da Miro alla Lanterna	via Coppino 289	Viareggio	55049	ITA	Tuscany	€€€	Seafood, Traditional Cuisine	It would be difficult for the menu at this restaurant to convey the beauty and quality of the fresh fish on display near the kitchen, where guests can make their own selection. Here, all sorts of ...	Air conditioning, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0584 384065	https://www.ristorantedamiro.com/
Il Galeone	piazzale Amendola 2	Fano	61032	ITA	Marche	€€	Seafood, Italian	Housed on the ground floor of the Elisabeth Due hotel, this restaurant enjoys a fine reputation in the area around Fano. In recent years, the owner-chef has intensified his efforts to source ...	Air conditioning, Car park, Terrace	Amex, Mastercard, Visa	+39 347 938 3785	https://www.ilgaleone.net/
Faletta 1881	Regione Mandoletta 81	Casale Monferrato	15033	ITA	Piedmont	€€	Piedmontese, Contemporary	Nestled amid the wine estates and rolling hills of Monferrato, this historic farmhouse has been carefully restored its enthusiastic owners. The restaurant here serves contemporary dishes inspired ...	Air conditioning, Car park, Garden or park, Wheelchair access	Mastercard, Visa	+39 0142 670068	https://www.faletta.it
Zass	via Laurito 2	Positano	84017	ITA	Campania	€€€€	Mediterranean Cuisine, Contemporary	The legendary San Pietro is one of the jewels of the Amalfi Coast as well as one of the most famous hotels in the world. Zass, its Michelin-starred restaurant, is extremely popular with visitors (...	Car park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 089 875455	https://www.ilsanpietro.com/it/ristorazione/zass/
L'Anfora	vico Alicudi	Lipari	98055	ITA	Sicily	€€	Sicilian, Classic Cuisine	Typical Lipari cuisine created with passion and enthusiasm. The colourful presentation offers a feast for the eyes as well as the taste buds. Generous portions.	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 090 982 1014	https://www.ristoranteanfora.it
Vespasia	via Cesare Battisti 10	Norcia	06046	ITA	Umbria	€€€€	Umbrian, Creative	Situated in the historic centre of Noto which is slowly returning to life after the earthquake, this restaurant is part of the smart Palazzo Seneca hotel. You pass through a succession of small ...	Air conditioning, Garden or park, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0743 817434	http://vespasianorcia.com
Il Frantoio	via Fontebella, 25	Assisi	06081	ITA	Umbria	€€€	Modern Cuisine	This restaurant has undergone a skilful refurbishment with a focus on colour, light and furnishings which combine harmoniously with the valley below, as well as with the dishes in which ...	Air conditioning, Garden or park, Great view, Terrace	Amex, Mastercard, Visa	+39 075 812883	https://www.ristoranteilfrantoioassisi.it
Controcorrente	via Colombo 101	Noli	17026	ITA	Liguria	€€	Modern Cuisine, Ligurian	In this minimalist restaurant, situated below the medieval San Giovanni tower in the picturesque pedestrianised historic centre of Noli, the owner-chef serves contemporary cuisine that echoes the ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 349 220 8133	http://www.ristorantecontrocorrente.it
Il Principe	via Colle San Bartolomeo 4	Pompei	80045	ITA	Campania	€€	Contemporary, Modern Cuisine	This restaurant focuses on a skilful and creative reinterpretation of Campanian specialities, serving the type of cuisine that you’d be happy to eat every day. Although the dishes are inspired by ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 081 850 5566	https://www.ilprincipe.com
Da Attilio	via Pignasecca 17	Naples	80134	ITA	Campania	€	Pizza	Situated in one of the liveliest working-class neighbourhoods of Naples, this restaurant serves traditional Neapolitan pizzas, including a few unusual innovations such as pizzas in the shape of an...	Air conditioning	Mastercard, Visa	+39 081 552 0479	
Johannesstube	via San Valentino 3	Nova Levante	39056	ITA	Trentino-South Tyrol	€€€€	Alpine, Modern Cuisine	The strictly regional ingredients used at this restaurant are sourced from local farmers and producers, with just a few exceptions such as sugar, truffles, salt, rice etc. Chef Theodor Falser is a...	Air conditioning, Car park, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0471 613131	https://www.johannesstube.com/
Al Palazzo	via Dei Mulini 23	Positano	84017	ITA	Campania	€€€	Mediterranean Cuisine, Classic Cuisine	Al Palazzo is the renowned restaurant at the Palazzo Murat hotel which is run by the Attanasio family. Dine alfresco in the restaurant’s beautiful botanical garden with its tiny vegetable patch, ...	Garden or park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 089 875177	https://palazzomurat.it/it/dining/ristorante-al-palazzo-a-positano
Extra	viale Turigliano 13	Carrara	54033	ITA	Tuscany	€€	Italian Contemporary, Seasonal Cuisine	Situated slightly inland behind Marina di Carrara, Extra (the name refers to the quality of the region’s world-famous marble) is a bright, modern restaurant with a menu inspired by the area’s fish...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0585 74741	https://www.extracarrara.it/
Impronta	via Angarano 7	Bassano del Grappa	36061	ITA	Veneto	€€€	Italian Contemporary	Located right next to the Ponte Vecchio, the symbol of Bassano del Grappa, this restaurant boasts an elegant, almost Alpine decor with soft lighting and a minimalist feel. In summer, our advice is...	Air conditioning, Counter dining, Terrace	Amex, Mastercard, Visa	+39 0424 235519	https://improntaristorante.it
Otto Geleng	via Teatro Greco 59	Taormina	98039	ITA	Sicily	€€€€	Mediterranean Cuisine, Sicilian	The elegant atmosphere at this restaurant is typical of Taormina and of Sicily’s old villas. It offers just eight tables laid out on a terrace adorned with bougainvillea and overlooking Taormina, ...	Garden or park, Great view, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0942 627 0200	https://www.belmond.com/it/dining/europe/italy/taormina/otto-geleng/
Casa Perrotta Restaurant	via Cinque Giornate 72	Cernobbio	22012	ITA	Lombardy	€€€	Italian Contemporary	This small, welcoming restaurant with a hint of minimalism and just a few tables serves personalised meat and fish dishes which aim to offer something a little different, with a choice of three ...	Air conditioning, Restaurant offering vegetarian menus	Amex, Mastercard, Visa	+39 351 524 2095	https://www.casaperrottarestaurant.it
Salsedine367	via Marradi 11	Lido di Savio	48125	ITA	Emilia-Romagna	€€	Seafood, Contemporary	Meals are served outdoors at this beach restaurant, which is also a private beach club. Here, the cuisine focuses on imaginative and personalised dishes that stand out for their excellent ...	Terrace	Mastercard, Visa	+39 0544 949400	http://www.salsedine367.it
Il Cavallo Scosso	via al Duca 23/d	Asti	14100	ITA	Piedmont	€€	Contemporary, Seafood	A young and modern restaurant situated in a residential area about 2km from the centre, where the owner-chef offers three tasting menus: Territorio e Tradizione, Il Cavallo Scosso and the more ...	Air conditioning, Car park	Amex, Mastercard, Visa	+39 0141 211435	https://www.ilcavalloscosso.it/
Oste Scuro - Finsterwirt	vicolo del Duomo 3	Brixen	39042	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Traditional Cuisine	Run by the capable Mayr family, this long-established restaurant has occupied a narrow alleyway in the centre of Bressanone (Brixen) since the late 19C. The dining rooms are decorated in historic ...	Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0472 835343	https://www.adlerbressanone.com/ristorante-oste-scuro
DanielCanzian	via Castelfidardo 7	Milan	20121	ITA	Lombardy	€€€	Italian Contemporary, Venetian	Situated in the heart of Brera and refurbished in the autumn of 2019, this restaurant showcases Italian artisanal skills through its bespoke furnishings, creating a fine setting for Canzian’s ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 02 6379 3837	https://www.danielcanzian.com
La Locanda di Piero	via Roma 34, strada per Dueville	Montecchio Precalcino	36030	ITA	Veneto	€€€	Modern Cuisine, Farm to table	Despite the name of this restaurant, its owners are actually called Renato and Sergio! Housed in a small country villa with the ambience of an elegant private residence, the restaurant boasts a ...	Air conditioning, Car park, Terrace	Amex, Mastercard, Visa	+39 0445 864827	https://lalocandadipiero.it/
Antica Locanda del Villoresi	via Sempione 4	Nerviano	20014	ITA	Lombardy	€€	Mediterranean Cuisine	What was once a post station is now a renowned restaurant overlooking the Villoresi canal. Although the attractive dining room has retained some of its historical features, the decor here is more ...	Air conditioning, Car park, Terrace	Amex, Mastercard, Visa	+39 0331 559450	
Tre Olivi	via Poseidonia 41	Paestum	84047	ITA	Campania	€€€€	Creative, Campanian	Oliver Glowig, German by birth but Italian by adoption, has returned to Campania where he’s now at the helm in the gourmet restaurant at the Savoy Beach Hotel. Here, his cuisine is showcased on ...	Air conditioning, Car park, Garden or park, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0828 720023	http://www.treolivi.com
Il Convito di Curina	SP 62 24, località Curina	Castelnuovo Berardenga	53019	ITA	Tuscany	€€	Tuscan	Tuscan cuisine, accompanied by a wide selection of wines (including regional labels and champagnes made by small producers) is served in the rustic yet elegant ambience of this restaurant. In fine...	Air conditioning, Car park, Garden or park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0577 355630	https://www.ilconvitodicurina.it/
Aqua Crua	piazza Calcalusso 11/a	Barbarano Vicentino	36048	ITA	Veneto	€€€€	Creative, Contemporary	Welcome to the wonderful world of chef Giuliano Baldessari, a creative chef who enjoys introducing guests to his gastronomic world. There are two dining options here: the tasting menus showcase ...	Air conditioning, Car park, Wheelchair access	Amex, Mastercard, Visa	+39 0444 776096	https://www.aquacrua.it
Retrogusto	via Tenente Eula 7	Otranto	73028	ITA	Apulia	€€	Country cooking, Modern Cuisine	Although this restaurant is slightly set back from the seafront, the high quality cuisine focusing on the flavours of the Salento makes the short walk well worthwhile. A classic ambience with ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 320 777 6406	
Entrà	via Salde Entrà 60, località Entrà	Finale Emilia	41034	ITA	Emilia-Romagna	€	Country cooking	Make sure you use your sat-nav to get to this restaurant as finding the right road through the countryside can be a challenge, although once you’re here you’ll be glad you made the effort. The ...	Car park, Terrace, Wheelchair access	Mastercard, Visa	+39 0535 97105	https://trattoriaentra.it/
Filippino	piazza Municipio	Lipari	98055	ITA	Sicily	€€	Seafood, Sicilian	Opened in 1910, this historic restaurant with an attractive shaded outdoor pergola serves an extensive array of delicious local fish prepared in traditional recipes. Enjoy a selection of typical ...	Air conditioning, Interesting wine list, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard	+39 090 981 1002	http://www.filippino.it
La Foresteria	Contrada Passo di Gurra  SP 79 km 91	Menfi	92013	ITA	Sicily	€€€	Contemporary	A luxurious guesthouse belonging to the famous Sicilian winery Planeta and surrounded by beautiful vineyards is the setting for this restaurant serving top-quality Sicilian cuisine. Home-grown ...	Car park, Garden or park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0925 195 5460	https://www.planetaestate.it/it/ristorante
SaleGrosso	viale II Giugno 15	Milano Marittima	48015	ITA	Emilia-Romagna	€€	Seafood, Mediterranean Cuisine	One of the town’s authentic favourites, this fish restaurant has a pleasant, light - coloured decor inspired by the sea. The eclectic cuisine includes tapas and raw fish dishes.	Air conditioning, Terrace	Mastercard, Visa	+39 0544 971538	http://www.ristorantesalegrosso.it
La Fratanza	via Garibaldi 37	Nocera Superiore	84015	ITA	Campania	€	Campanian, Traditional Cuisine	Follow your satnav and you’ll easily find this private residence situated just outside the village. The restaurant is family run and furnished in classic style, with an attractive veranda room ...	Air conditioning, Car park, Garden or park, Terrace	Amex, Mastercard, Visa	+39 081 936 8345	https://www.lafratanzaristorante.it/
Satricvm	strada Nettunense 1227	Le Ferriere	04100	ITA	Lazio	€€€	Country cooking, Modern Cuisine	Their experience in London, as well as in restaurants around the world, is evident in the pleasant yet somewhat unexpected international atmosphere created by this husband-and-wife team. Using ...	Air conditioning, Car park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 349 192 3153	https://blog.maxcotilli.com/
Alla Coà	via Ospedaletto 70	Ospedaletto	37026	ITA	Veneto	€€	Venetian, Traditional Cuisine	Situated alongside a fairly busy road, this old house has been furnished in typical country style with a hint of romanticism. The menu focuses almost exclusively on meat dishes, with salted cod ...	Air conditioning, Car park, Terrace	Mastercard, Visa	+39 045 676 7402	
Osteria Arbustico	via Francesco Gregorio 40	Paestum	84047	ITA	Campania	€€€	Modern Cuisine, Campanian	Housed within the Royal Paestum hotel, this elegant, contemporary restaurant boasts an attractively simple and minimalist ambience in which owner-chef Cristian Torsiello’s cuisine takes centre ...	Air conditioning, Car park, Garden or park, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0828 851525	https://www.osteriaarbustico.it/
Trattoria Losanna	via San Rocco 40	Masio	15024	ITA	Piedmont	€	Piedmontese	This friendly restaurant has a pleasantly convivial and lively ambience. Try a selection of homemade antipasto to start, followed by generous portions of traditional cuisine from Monferrato.	Air conditioning, Car park	Amex, Mastercard, Visa	+39 0131 799525	
